Course	Room	Teacher	Time	Students
007374	TH110	0987494	22	3905868 3559464 3651750 3693286 3767997 3816336 3821016 3911124 3689328 3768356 3819613 3821766 3871577 3930705 3691616 3694433 3797168 3596492 3668196 3724014 3768088 3559319 3610681 3816104 3821180 3679221 3705083 3667385 3691983 3694384 3821231 3485170 3581149 3592680 3630501 3645720 3650228 3677885 3689920 3695368 3695784 3712913 3728679 3796007 3796964 3797192 3797206 3816992 3817682 3819645 3820729 3931323 3693224 3716357 4091039 3694780 3505134 3668921 3700270 3774124 3790863 3797650 3797739 3797787 3797803 3910507 3910538 3910576 3910583 3910591 3910610 3910622 3910672 3910712 4086314 
007374	TH110	0987494	269	3905868 3559464 3651750 3693286 3767997 3816336 3821016 3911124 3689328 3768356 3819613 3821766 3871577 3930705 3691616 3694433 3797168 3596492 3668196 3724014 3768088 3559319 3610681 3816104 3821180 3679221 3705083 3667385 3691983 3694384 3821231 3485170 3581149 3592680 3630501 3645720 3650228 3677885 3689920 3695368 3695784 3712913 3728679 3796007 3796964 3797192 3797206 3816992 3817682 3819645 3820729 3931323 3693224 3716357 4091039 3694780 3505134 3668921 3700270 3774124 3790863 3797650 3797739 3797787 3797803 3910507 3910538 3910576 3910583 3910591 3910610 3910622 3910672 3910712 4086314 
007374	TH110	0987494	23	3905868 3559464 3651750 3693286 3767997 3816336 3821016 3911124 3689328 3768356 3819613 3821766 3871577 3930705 3691616 3694433 3797168 3596492 3668196 3724014 3768088 3559319 3610681 3816104 3821180 3679221 3705083 3667385 3691983 3694384 3821231 3485170 3581149 3592680 3630501 3645720 3650228 3677885 3689920 3695368 3695784 3712913 3728679 3796007 3796964 3797192 3797206 3816992 3817682 3819645 3820729 3931323 3693224 3716357 4091039 3694780 3505134 3668921 3700270 3774124 3790863 3797650 3797739 3797787 3797803 3910507 3910538 3910576 3910583 3910591 3910610 3910622 3910672 3910712 4086314 
015407	CARP13	3443571	24	3905868 3533093 3690361 3819232 3901484 3823151 3481944 3579687 3774116 
015407	CARP13	3443571	25	3905868 3533093 3690361 3819232 3901484 3823151 3481944 3579687 3774116 
002876	DAL300	1084458	86	3911048 3843810 3851735 3908300 3577054 3580671 3612427 3758075 3871577 3903520 3666995 3667311 3692852 3856450 3930102 3824908 3852791 3796148 3817637 3911054 3915332 3852806 3930237 3814239 3524341 3615055 3816992 3832060 3913863 3668910 3910745 4096175 
002876	DAL300	1084458	87	3911048 3843810 3851735 3908300 3577054 3580671 3612427 3758075 3871577 3903520 3666995 3667311 3692852 3856450 3930102 3824908 3852791 3796148 3817637 3911054 3915332 3852806 3930237 3814239 3524341 3615055 3816992 3832060 3913863 3668910 3910745 4096175 
009225	PK200	1061058	78	3911048 3852217 3764613 3769494 3823192 3788616 3555254 3666175 3762625 3929635 3929419 3669010 4086407 
015114	TH224	0820103	25	3929704 3911048 3503587 3556617 3667453 3767997 3690652 3708638 3768356 3789136 3764613 3819585 3610681 3759024 3483059 3667385 3821231 3818746 3910343 3931959 3578861 3581149 3651033 3689920 3712913 3728679 3789573 3796007 3817682 3819645 3931323 3694754 3722992 3931688 3584685 3668830 3774124 3910464 3910553 3910680 4086287 
015114	TH224	0820103	332	3929704 3911048 3503587 3556617 3667453 3767997 3690652 3708638 3768356 3789136 3764613 3819585 3610681 3759024 3483059 3667385 3821231 3818746 3910343 3931959 3578861 3581149 3651033 3689920 3712913 3728679 3789573 3796007 3817682 3819645 3931323 3694754 3722992 3931688 3584685 3668830 3774124 3910464 3910553 3910680 4086287 
